reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
11,Gramophone Creek,58067_us,0,0,11,6.3,5.3,5.4,4.7,6.1,6.4,,5.699999999999999,metre tape,6.2,4,3.6,2.5,4,3.6,,3.983333333333333,metre tape,0.15,0.5,0.24,0.2,0.4,,,0.29800000000000004,metre stick,0.4,0.4,0.5,0.3,0.4,metre stick,4,3,2,3,0.03,clinometer,moderate,,12,recording meter,93,recording meter,8.199999999999998,pH meter (general),,moderate,sub-dominant,trace,dominant,sub-dominant,trace,trace,none,21-40%,few,clumped,none,sloping,gravels,,mixed forest,mature forest,V-shaped,cobbles,,mixed forest,mature forest,cobbles,gravels,,20,,sinuous,Partially Coupled,occasionally confined,beaver dam,0.5,,,9,610228,6092951,,"Small beaver dam ~500m upstream. Some areas that are coupled, with embankment issues. Some fish spotted but not many. Wide stream throughout with abundant cover. Approx. 50m of open residential area on right bank. High habitat value with some areas with gravels suitable for spawning."
12,Gramophone Creek,58067_ds,0,0,12,5.4,4.6,5.6,6.3,3.6,5.3,,5.133333333333334,metre tape,4.4,2.9,1.5,3.3,3.4,2.6,,3.016666666666667,metre tape,0.17,0.61,0.33,0.41,0.34,,,0.372,metre stick,0.62,0.5,0.5,,0.54,,3,4,2,3,0.03,clinometer,,,12,recording meter,93,recording meter,8.199999999999998,pH meter (general),,moderate,sub-dominant,trace,sub-dominant,dominant,sub-dominant,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,boulders,90,24,,irregular meanders,Decoupled,frequently confined,,,,,,,,,High value habitat. Abundant undercut banks available for cover. Some patches with gravels present suitable for RB/ST and CO spawning. Occasional deep pools present suitable for rearing and overwintering. Old growth mixed forest riparian. Site is adjacent to witset community. 12:01:59
13,Gramophone Creek,58067_ds_ef1,0,0,13,,,,,,,,,,3.1,2.9,4.1,3.2,3.1,,,3.28,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),Clear,moderate,trace,none,sub-dominant,trace,trace,trace,none,1-20%,few,evenly distributed,mosses,overhanging bank,fines,,mixed forest,mature forest,,fines,,,,,,,,,,,,,,,,,,,,"Mostly riffle, occasional boulders. Pool at top of site. 11:03:07"
14,Gramophone Creek,58067_ds_ef2,0,0,14,,,,,,,,,,3.8,3.8,4,3.5,2.7,,,3.56,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),,moderate,trace,none,sub-dominant,dominant,trace,trace,none,1-20%,none,evenly distributed,mosses,sloping,cobbles,,mixed forest,mature forest,,,,,,,,,,,,,,erosion/sedimentation,,,,9,609536,6092932,,"Deep undercut bank at top of site. Mostly shallow glide. Fair amount of overhanging veg, most fish caught at top of site. 11:47:53"
15,Gramophone Creek,58067_ds_ef3,0,0,15,,,,,,,,,,4.3,4.4,3.3,2.2,3.3,,,3.5,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),,moderate,dominant,sub-dominant,trace,sub-dominant,trace,trace,none,1-20%,few,evenly distributed,none,undercut,cobbles,,mixed forest,mature forest,,,,,,,,,,,,,,,,,,,,,,"Abundant overhanging veg combined with undercut banks. Mostly riffles. Open site, less tree cover. Majority of section is a bend. 5 fish caught, distributed evenly throughout site. 12:04:20"
16,Gramophone Creek,58067_ds_ef4,0,0,16,,,,,,,,,,2.2,2.5,5.4,3.9,3,,,3.4,metre tape,,,,,,,,,,,,,,,,2,,,,0.02,clinometer,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),,moderate,,,,,,,,1-20%,none,not applicable,mosses,sloping,cobbles,,mixed forest,mature forest,undercut,gravels,,mixed forest,mature forest,,,,,,,,,,,,,,,,,0.53797453703703701
17,Gramophone Creek,58067_ds_ef5,0,0,17,,,,,,,,,,2.2,2.3,2.9,3.1,,,,2.625,metre tape,,,,,,,,,,,,,,,,,,,,,,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),,moderate,dominant,none,sub-dominant,sub-dominant,sub-dominant,trace,none,1-20%,none,,,undercut,fines,,mixed forest,mature forest,,,,,,,,,,,,,,,,,,,,,,Glide habitat with extensive small woody debris and some undercut on the left bank. Difficult to fish due to all the small woody debris. 13:38:58
18,Gramophone Creek,53067_ds_ef6,0,0,18,,,,,,,,,,5.2,5.1,6.5,,,,,5.6000000000000005,metre tape,,,,,,,,,,,,,,,,,,,,,,,,12,recording meter,67,recording meter,8.099999999999998,pH meter (general),,moderate,trace,sub-dominant,trace,trace,dominant,none,,1-20%,few,evenly distributed,,undercut,fines,,,,sloping,fines,,,,cobbles,boulders,,,,,,,,,,,,,,,Stopped at gravels. Site is one large pool with a big piece of large woody debris across the channel. 14:04:41
19,Gramophone Creek,58067_us_ef1,0,0,19,,,,,,,,,,2.8,3.6,3.8,,,,,3.4,metre tape,,,,,,,,,,,,,,,,0.5,,,,0.005,clinometer,,,,,,,,,,,none,dominant,trace,trace,sub-dominant,trace,none,1-20%,,,,undercut,fines,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,boulders,,,,,,,,,,,,,,,LWD at top end of site with pool underneath. Did not fish gravels on left bank. 13:20
20,Gramophone Creek,58067_us_ef2,0,0,20,,,,,,,,,,3.4,3.1,2.9,2.2,2.3,,,2.78,metre tape,,,,,,,,,,,,,,,,2.5,,,,0.025,clinometer,low,,,,,,,,,,trace,none,dominant,none,trace,none,,21-40%,few,,,,,,,,,,,,,cobbles,boulders,,,,,,,,,,,,,,,Riffle habitat with one shallow pool at u/s end of site. No undercut banks. 15:55
21,Gramophone Creek,58067_us_ef3,0,0,21,,,,,,,,,,3.14,3.5,3.9,,,,,3.5133333333333336,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,,,,,,,,moderate,trace,trace,sub-dominant,dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,deciduous forest,mature forest,sloping,gravels,,mixed forest,mature forest,,,,,,,,,,,,,,,,,"Vegetated bar at top of site, providing cover for fish functional woody debris on left bank plenty of fish scooted out of.  Two rainbow trout were caught electrofishing more were sighted. Cobbles and boulders made up the stream bed for good quality rearing habitat. Healthy riparian. 15:24:52"
22,Gramophone Creek,58067_us_ef4,0,0,22,,,,,,,,,,2.9,2.5,2.9,,,,,2.766666666666667,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,,,,,,,,trace,trace,trace,dominant,none,trace,trace,none,1-20%,few,evenly distributed,none,sloping,boulders,,mixed forest,mature forest,sloping,fines,,,,,,,,,,,,,,,,,,,,Right bank is sloping. Red healthy riparian shrubs deciduous and conifers provide some shade but not much crown closure. 15:49:19
23,Gramophone Creek,58067_us_ef5,0,0,23,,,,,,,,,,4.3,2.4,2.6,,,,,3.1,metre tape,,,,,,,,,,,,,,,,2,,,,0.02,clinometer,,,,,,,,,,moderate,trace,trace,dominant,none,trace,trace,none,1-20%,few,evenly distributed,none,sloping,gravels,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,gravels,,,,,,,,,,,,,,,Shrubs and mixed forest riparian giving good shade from sun so 20 m from someones property on left bank. Stable large body debris in stream and along stream banks creating complexity and great fish rearing habitat boulders are present and very functional for cover. 16:08:56
24,Gramophone Creek,58067_us_ef6,0,0,24,,,,,,,,,,3.6,4.3,4.1,,,,,4,metre tape,,,,,,,,,,,,,,,,2,,,,0.02,clinometer,,,,,,,,,,trace,none,dominant,none,none,none,none,,,none,not applicable,,sloping,cobbles,,mixed forest,mature forest,sloping,boulders,,shrubs,shrub,cobbles,boulders,,,,,,,,,,,,,,,Faster section with some boulders just before private land. 16:15
25,Tributary to Waterfall Creek,198116_ds,0,0,25,2.6,3.3,2.78,1.73,2.92,3.77,3.88,2.9971428571428573,metre tape,2.52,2.82,2.28,1.73,2.75,3.57,3.88,2.792857142857143,metre tape,0.2,0.18,,,,,,0.19,metre stick,0.34,0.38,0.64,0.38,0.435,metre stick,1.5,0.5,1,,0.01,clinometer,low,,8,recording meter,54,recording meter,8.199999999999998,pH meter (general),Clear,abundant,trace,trace,none,trace,none,dominant,sub-dominant,1-20%,few,not applicable,vascular plants,undercut,fines,,shrubs,shrub,undercut,fines,,shrubs,shrub,fines,gravels,,,,,Coupled,frequently confined,bridge,0.7,6.2,,9,590119,6123396,,Decent habitat. Slow flowing stream. Stream is in town. Alot of waste and debris. Food for fish is abundant. Alot of cover from veg. Stream hits railway and is diverted west. 10:34:47
26,Tributary to Waterfall Creek,198116_us,0,0,26,4.6,3.28,3.5,3,3.8,3.16,4.5,3.6914285714285713,metre tape,4.6,3.3,3.5,3,3.8,2.8,3.48,3.4971428571428573,metre tape,0.17,0.4,0.4,0.3,0.2,0.38,,0.3083333333333333,metre stick,0.4,0.17,0.2,0.35,0.28,metre stick,0.5,1.5,2,2,0.015,clinometer,,,8,recording meter,52,recording meter,8.13,pH meter (general),Clear,abundant,dominant,trace,trace,sub-dominant,none,dominant,trace,1-20%,few,not applicable,none,undercut,gravels,,shrubs,initial,undercut,gravels,,shrubs,initial,fines,gravels,,,,regular meanders,Coupled,occasionally confined,LWD Jam,0.2,3,,9,590253,6123149,,"Excellent habitat quality. moderate flowing creek fish spotted all the way up to the waterfall. Active minnow trap found with many fish inside. Plenty of cover, shallow undercuts. 11:28:37"
27,Stock Creek,195944_ds,0,0,27,5,4.1,5,3.3,4.2,2.8,,4.0666666666666655,metre tape,1.2,0.6,1.6,1.6,2.7,1.5,,1.5333333333333332,metre tape,0.3,0.2,0.3,,,,,0.26666666666666666,metre stick,0.8,0.4,0.4,,0.5333333333333333,metre stick,3,4,2.5,,0.03166666666666666,clinometer,moderate,,14,recording meter,304,recording meter,8.26,pH meter (general),Lightly Turbid,trace,sub-dominant,sub-dominant,dominant,sub-dominant,trace,sub-dominant,none,21-40%,few,clumped,none,V-shaped,cobbles,boulders,shrubs,shrub,sloping,cobbles,boulders,deciduous forest,young forest,cobbles,boulders,,30,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Moderate value habitat with many undercut banks throughout, fish up tp 20cm long sighted throughout covered areas. Patches of debris. Cattle trail next to length of creek, some areas have embankment issues with ris of sediment falling into stream. Not many gravel patches suitable for spawning. 15:06"
26,Tributary to Waterfall Creek,198116_us,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crossing (general),1.13,6.05,,9,590258,6123028,,feature_record_only
26,Tributary to Waterfall Creek,198116_us,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1,5,,9,590549,6122699,,feature_record_only
28,Valee Creek,57793_us,0,0,28,4,,,,,,,4,metre tape,2.2,,,,,,,2.2,metre tape,,,,,,,,,,,,,,,,2,,,,0.02,clinometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
