rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
6,2022-08-29,197653,,"MW, TP",9,665520,6044200,Perow Creek,Perow Loop Road,,MoTi,Closed Bottom Structure,Round Culvert,2.3,28,No,,No,No,,0.5,0.3,0,No,1.5,4.3,4,No,No,Deep Fill,Low,1.9,3,10,10,5,6,34,Barrier,Replace Structure with Streambed Simulation CBS,3,Stream is dry. Private yards u/s and d/s. Riprap and cement in channel. 10:48,pscis_phase2.xlsm,197653,10:48,2022-08-29T10:48:00Z,"MW,",197653
7,2022-08-30,195943,,"MW, TP, AI, VJ, AN, DN",9,645434,6035035,Stock Creek,Barrett Station Road,,MoTi,Closed Bottom Structure,Oval Culvert,2,14,No,,No,No,,0.6,1.1,0.71,No,1.5,3,3,No,Yes,Deep Fill,Medium,1.5,0,10,10,5,6,31,Barrier,Replace with New Open Bottom Structure,10,"Very large outlet drop, but creates nice pool for fish. Erosion on LB/RB on outlet side. Agricultural fields, minimal municipality population ds. Road is paved, detour available. 10:25",pscis_phase2.xlsm,195943,10:25,2022-08-30T10:25:00Z,"MW,",195943
8,2022-08-30,195944,,"MW, TP, AI, VJ, AN, DN",9,646015.191209943,6035569.64586004,Stock Creek,Highway 16,,MoTi,Closed Bottom Structure,Round Culvert,1.8,99,No,,No,No,,9.99,1.5,0.25,No,3.5,2.6,2,No,Yes,Deep Fill,Medium,1.4,6,10,10,10,6,42,Barrier,Replace Structure with Streambed Simulation CBS,4.5,Length 167 m. Fill depth estimated at approximately 35 m. 14:35,pscis_phase2.xlsm,195944,14:35,2022-08-30T14:35:00Z,"MW,",195944
9,2022-08-31,57793,,"MW, DN, TP, AN",9,641460,6044049,Vallee Creek,Walcott Road,,MoTi,Closed Bottom Structure,Round Culvert,3,20,No,,No,No,,1,0.1,0.5,No,2,4.7,3,No,Yes,Deep Fill,High,1.6,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,10,"Slight outlet drop, low water levels would be a fish passage issue. Little amount of water running through culvert. Deep pool at outlet of culvert, good for fish. Boulders in culvert, which are obstacles to fish. 9:34",pscis_phase2.xlsm,57793,9:34,2022-08-31T09:34:00Z,"MW,",57793
10,2022-09-10,198116,,AI,9,590233.23,6123183.27,Tributary to Waterfall Creek,Highway 16,,MoTi,Closed Bottom Structure,Round Culvert,1.5,27,No,,No,No,,1,0,0.2,Yes,2.5,3.9,2.5,No,Yes,Deep Fill,High,2.6,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,10,"Stream is not mapped correctly in the freshwater atlas as it actually flows in a north direction through town. Great flow, patches of gravel suitable for coho spawning. Located right within the town of New Hazelton. Trap and truck coho operation occurring with spawners transplanted upstream of the railway and 14th avenue. 16:34",pscis_phase2.xlsm,198116,16:34,2022-09-10T16:34:00Z,AI,198116
11,2022-09-01,58067,,"AI, CM, JO",9,609735.823499589,6092879.92183582,Gramophone Creek,Telkwa high road,,MoTi,Closed Bottom Structure,Oval Culvert,2.2,16,No,,No,No,,1.8,0.49,1.46,Yes,0.3,6.6,4,No,No,Deep Fill,High,3,3,10,10,0,6,29,Barrier,Replace with New Open Bottom Structure,11.5,Gradient of culvert shot with laser level. Inside of pipe is bent downward at the outlet. Upstream side of the road is eroding. Enormous outlet pool indicates culvert is undersized. Water flowing under overflow. Just outside of Witset community. Seems like a really good candidate for replacement. 10:26,pscis_phase2.xlsm,58067,10:26,2022-09-01T10:26:00Z,"AI,",58067
5,2022-08-31,123392,,"MW, TP, DN, AN",9,638553.350510999,6054801.84312716,Lemieux Creek,Quick school road,,,Closed Bottom Structure,Round Culvert,1.15,12,Yes,0.05,No,Yes,100,0.75,0,0.5,No,1,3.6,1.5,No,Yes,Deep Fill,Low,3.1,0,5,0,5,6,16,Potential,Replace with New Open Bottom Structure,10,"Adjacent landowner reports culvert was replaced last year. Some dewatering downstream of outlet pool. Passable crossing, deep outlet pool but the stream dewaters after the pool. 13:14",pscis_reassessments.xlsm,123392,13:14,2022-08-31T13:14:00Z,"MW,",123392
6,2022-08-31,123393,,"MW, TP, DN, AN",9,638515.957336896,6054721.90080259,Lemieux creek,Highway 16,,Moti,Closed Bottom Structure,Round Culvert,1.3,21,No,,No,Yes,90,1.5,0,0.9,No,1,2.8,1.5,Yes,No,Deep Fill,Low,2.2,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,10,"Very deep outlet pool. Wetland downstream, beaver activity upstream. Almost fully backwatered, a little bit of flow through the culvert. 13:32",pscis_reassessments.xlsm,123393,13:32,2022-08-31T13:32:00Z,"MW,",123393
7,2022-08-31,123426,,"MW, TP, DN, AN",9,636971,6056680,Robin Creek,Highway 16,,Moti,Closed Bottom Structure,Round Culvert,1.4,22,Yes,0.2,Yes,No,,2.2,0,0.05,No,1.5,2.3,2,No,No,Deep Fill,High,1.6,3,5,0,5,6,19,Potential,Replace with New Open Bottom Structure,10,Embedded culvert with high flow. 14:37,pscis_reassessments.xlsm,123426,14:37,2022-08-31T14:37:00Z,"MW,",123426
8,2022-08-29,197657,,"AI, TP",9,665525.122959719,6044125.58352585,Perow Creek,Highway 16,,,Closed Bottom Structure,Oval Culvert,2.3,18,Yes,1,Yes,No,,0.5,0,0,No,1.5,4.6,3,No,No,Deep Fill,Medium,2,3,0,0,5,6,14,Passable,,,Stream was dry at the time of survey but had water last year during extremely dry ear. Culvert appears passable for all life stages. There is a private land residential development impacting the stream. The channel is constricted and has large chunks of riprap throughout. 10:45,pscis_reassessments.xlsm,197657,10:45,2022-08-29T10:45:00Z,"AI,",197657
9,2022-09-13,123750,,"TP, VJ",9,607513.91,6067563.15,Tributary to Miller Creek,McDonnell FSR,3.5,BCTS,Open Bottom Structure,Bridge,4.5,19,,,,,,,,,,,,,No,No,,,0,3,0,0,0,0,3,Passable,,,"New bridge, well built. Room on both banks for freshet melt. 16:57:00",pscis_reassessments.xlsm,123750,16:57:00,,"TP,",123750
